filename,name,size_m,category,description
abell-2029.png,Abell 2029,6e+22,Large-Scale Structure,"Abell 2029 is a galaxy cluster one billion light-years away in the constellation Virgo. Its central galaxy, which is IC 1101, is almost as large as it is. It emits 1 trillion times as much light as the Sun does. (About 10^34 light bulbs)"
albireo.png,Albireo,86000000000,Stars,"Albireo is made up of three stars total. Here we are just showing the largest one. Two of the stars are close, and form a yellow dot. The third is blue and further away. The blue star and yellow stars are so far apart it takes them 100,000 years to complete one orbit."
aldebaran.png,Aldebaran,63000000000,Stars,"Aldebaran is not to be confused with Alderaan, which is a planet in Star Wars. Alderaan is very similar to Earth in size, day length, and water cover. However, Aldebaran is 4,900 times larger, rotates every 520 Earth days, and has no water."
alnitak.png,Alnitak,28000000000,Stars,"Alnitak illuminates the Flame Nebula. Alnitak is also the easternmost star of the three stars that form Orion's belt. The other two are Alnilam and Mintaka, and all three appear very bright from planet Earth."
alpha-centauri-a.png,Alpha Centauri A,1700000000,Stars,"Alpha Centauri A is the largest star of the Alpha Centauri star system (composed of three stars), which is the closest star system to us. It is also the fourth brightest star in the night sky."
alpha-centauri-b.png,Alpha Centauri B,1200000000,Stars,"Alpha Centauri B is the second largest star in the Alpha Centauri star system. Its diameter is approximately 1.25 million kilometers, so it is slightly smaller than the Sun. Alpha Centauri A & B are so close they appear as a single star to us Earthlings."
alpha-helix.png,Alpha Helix,1.2e-9,Chemistry,The alpha helix is one of the secondary structures of proteins. Many proteins have alpha helices within them. Hemoglobin and myoglobin are proteins that are made of about 70% alpha helices!
altair.png,Altair,2800000000,Stars,"Altair is one of the three stars in the Summer Triangle. The Summer Triangle is an acute triangle, which means that all the angles are less than 90°! The other two are Vega and Deneb. Like many other stars, Altair spins very quickly, bulging at the center!"
am-radio-wavelength.png,AM Radio Wavelength,300,Electromagnetic Spectrum,"A and M are the first and thirteenth letters of the alphabet. One is a perfect square, while thirteen is not. We all have our differences, and we have to learn to accept them. That's the only way we'll live in harmony."
amoeba.png,Amoeba,0.00035,Microbiology,"Amoebae are unicellular, which means there is only one cell. Some amoebae can grow to an incredible 700 micrometers, which is almost an entire millimeter."
andromeda-galaxy.png,Andromeda Galaxy,1.4e+21,Galaxies,"The Andromeda Galaxy is the Milky Way's twin. It's the nearest galaxy that is a similar size and shape. In a few billion years, the two galaxies will collide and form one larger elliptical galaxy - Milkomeda."
angel-falls.png,Angel Falls,980.0000000000001,Geography,Angel Falls is the tallest waterfall in the world. It is Venezuela's top tourist attraction. Most of the water evaporates into mist before hitting the ground. That's too bad. Or is it good? It's good.
angstrom.png,Angstrom,1e-10,Chemistry,"An angstrom, which is named after Swedish physicist Anders Jonas Ångström, is one tenth of a nanometer. The symbol for an angstrom is Å. The angstrom is used to express the size of atoms or transistors."
ant.png,Ant,0.004,Biology,"You probably don't like ants. That's too bad. 15-25% of all land animals are ants! Whoa! That's a lot of ants! For every person on Earth, there are over one million ants!"
ant-nebula.png,Ant Nebula,20000000000000000,Nebulae,"The Ant Nebula, which is also called Mz 3, is expanding 180,000 kilometers per hour. It resembles an ant, so much so that it is named after an ant. For more about ants, zoom in 18 orders of magnitude."
antares.png,Antares,969999999999.9999,Stars,"Antares is a red supergiant very near the ecliptic, so it gets occulted (blocked) by the Moon quite often. Also, Antares weighs septillions of tons and is losing weight through solar wind, but this method is slow. The fast way is to explode, which it'll do later."
apollo-lunar-module.png,Apollo Lunar Module,9,Human Structures,"This thing weighs 15,000 kilograms! That's a lot! It also landed on the Moon. Its landing inspired the arcade game ""Lunar Lander” which is not easy. When I play, I always run out of fuel!"
archaeopteryx.png,Archaeopteryx,.5495408738576245,Biology,"Often considered the ""first bird"", Archaeopteryx lived during the Late Jurassic (about 150 million years ago). This small, feathered dinosaur, about the size of a modern raven, measured around 1.5 feet (0.5 meters) in length and had a mix of avian and dinosaurian traits. It possessed teeth, clawed wings, and a bony tail like a dinosaur but had feathers and possibly the ability for limited powered flight or gliding."
arcturus.png,Arcturus,36000000000,Stars,"Arcturus is the third brightest star in the night sky, after Sirius and Canopus. It's the brightest star in the constellation of Boötes. Find it by following the handle of the Big Dipper."
argentinosaurus.png,Argentinosaurus,39.81071705534973,Biology,"One of the largest known sauropods, Argentinosaurus lived during the Late Cretaceous (around 97–93 million years ago) in what is now South America. It could reach lengths of 98–115 feet (30–35 meters) and weigh as much as 100 tons. Argentinosaurus was a herbivore, with a long neck for reaching high vegetation and a massive, barrel-shaped body."
asia.png,Asia,8000000,Geography,"Asia is the Earth's largest continent, holding over four billion people – over half of the world's population. Africa is the second most populous continent, but only has one billion people."
